פועל	עתיד	שני 	נקבה	רבים	ת_יו_צ_בנה_
פועל	עתיד	שלישי	זכר 	רבים	י_יו_צ_בו_
פועל	עתיד	שלישי	נקבה	רבים	ת_יו_צ_בנה_
הפעיל	עבר 	ראשון	זכר 	יחיד	ה_י_צ_בתי_
הפעיל	עבר 	ראשון	נקבה	יחיד	ה_י_צ_בתי_
הפעיל	עבר 	שני 	זכר 	יחיד	ה_י_צ_בת_
הפעיל	עבר 	שני 	נקבה	יחיד	ה_י_צ_בת_
הפעיל	עבר 	שלישי	זכר 	יחיד	ה_י_צי_ב_
הפעיל	עבר 	שלישי	נקבה	יחיד	ה_י_צי_ב_
הפעיל	עבר 	ראשון	זכר 	רבים	ה_י_צ_בנו_
הפעיל	עבר 	ראשון	נקבה	רבים	ה_י_צ_בנו_
הפעיל	עבר 	שני 	זכר 	רבים	ה_י_צ_בתם_
הפעיל	עבר 	שני 	נקבה	רבים	ה_י_צ_בתן_
הפעיל	עבר 	שלישי	זכר 	רבים	ה_י_צי_בו_
הפעיל	עבר 	שלישי	נקבה	רבים	ה_י_צי_בו_
הפעיל	הווה	ראשון	זכר 	יחיד	מ_י_צי_ב_
הפעיל	הווה	ראשון	נקבה	יחיד	מ_י_צי_בה_
הפעיל	הווה	שני 	זכר 	יחיד	מ_י_צי_ב_
הפעיל	הווה	שני 	נקבה	יחיד	מ_י_צי_בה_
הפעיל	הווה	שלישי	זכר 	יחיד	מ_י_צי_ב_
הפעיל	הווה	שלישי	נקבה	יחיד	מ_י_צי_בה_
הפעיל	הווה	ראשון	זכר 	רבים	מ_י_צי_בים_
הפעיל	הווה	ראשון	נקבה	רבים	מ_י_צי_בות_
הפעיל	הווה	שני 	זכר 	רבים	מ_י_צי_בים_
הפעיל	הווה	שני 	נקבה	רבים	מ_י_צי_בות_
הפעיל	הווה	שלישי	זכר 	רבים	מ_י_צי_בים_
הפעיל	הווה	שלישי	נקבה	רבים	מ_י_צי_בות_
הפעיל	עתיד	ראשון	זכר 	יחיד	א_י_צי_ב_
הפעיל	עתיד	ראשון	נקבה	יחיד	א_י_צי_ב_
הפעיל	עתיד	שני 	זכר 	יחיד	ת_י_צי_ב_
הפעיל	עתיד	שני 	נקבה	יחיד	ת_י_צי_בי_
הפעיל	עתיד	שלישי	זכר 	יחיד	י_י_צי_ב_
הפעיל	עתיד	שלישי	נקבה	יחיד	ת_י_צי_ב_
הפעיל	עתיד	ראשון	זכר 	רבים	נ_י_צי_ב_
הפעיל	עתיד	ראשון	נקבה	רבים	נ_י_צי_ב_
הפעיל	עתיד	שני 	זכר 	רבים	ת_י_צי_בו_
הפעיל	עתיד	שני 	נקבה	רבים	ת_י_צ_בנה_
הפעיל	עתיד	שלישי	זכר 	רבים	י_י_צי_בו_
הפעיל	עתיד	שלישי	נקבה	רבים	ת_י_צ_בנה_
הפעיל	ציווי	שני 	זכר 	יחיד	ה_י_צ_ב_
הפעיל	ציווי	שני 	נקבה	יחיד	ה_י_צי_בי_
הפעיל	ציווי	שני 	זכר 	רבים	ה_י_צי_בו_
הפעיל	ציווי	שני 	נקבה	רבים	ה_י_צ_בנה_
הופעל	עבר 	ראשון	זכר 	יחיד	הו_י_צ_בתי_
הופעל	עבר 	ראשון	נקבה	יחיד	הו_י_צ_בתי_
הופעל	עבר 	שני 	זכר 	יחיד	הו_י_צ_בת_
הופעל	עבר 	שני 	נקבה	יחיד	הו_י_צ_בת_
הופעל	עבר 	שלישי	זכר 	יחיד	הו_י_צ_ב_
הופעל	עבר 	שלישי	נקבה	יחיד	הו_י_צ_בה_
הופעל	עבר 	ראשון	זכר 	רבים	הו_י_צ_בנו_
הופעל	עבר 	ראשון	נקבה	רבים	הו_י_צ_בנו_
הופעל	עבר 	שני 	זכר 	רבים	הו_י_צ_בתם_
הופעל	עבר 	שני 	נקבה	רבים	הו_י_צ_בתן_
הופעל	עבר 	שלישי	זכר 	רבים	הו_י_צ_בו_
הופעל	עבר 	שלישי	נקבה	רבים	הו_י_צ_בו_
הופעל	הווה	ראשון	זכר 	יחיד	מו_י_צ_ב_
הופעל	הווה	ראשון	נקבה	יחיד	מו_י_צ_בת_
הופעל	הווה	שני 	זכר 	יחיד	מו_י_צ_ב_
הופעל	הווה	שני 	נקבה	יחיד	מו_י_צ_בת_
הופעל	הווה	שלישי	זכר 	יחיד	מו_י_צ_ב_
הופעל	הווה	שלישי	נקבה	יחיד	מו_י_צ_בת_
הופעל	הווה	ראשון	זכר 	רבים	מו_י_צ_בים_
הופעל	הווה	ראשון	נקבה	רבים	מו_י_צ_בות_
הופעל	הווה	שני 	זכר 	רבים	מו_י_צ_בים_
הופעל	הווה	שני 	נקבה	רבים	מו_י_צ_בות_
הופעל	הווה	שלישי	זכר 	רבים	מו_י_צ_בים_
הופעל	הווה	שלישי	נקבה	רבים	מו_י_צ_בות_
הופעל	עתיד	ראשון	זכר 	יחיד	או_י_צ_ב_
הופעל	עתיד	ראשון	נקבה	יחיד	או_י_צ_ב_
הופעל	עתיד	שני 	זכר 	יחיד	תו_י_צ_ב_
הופעל	עתיד	שני 	נקבה	יחיד	תו_י_צ_בי_
הופעל	עתיד	שלישי	זכר 	יחיד	יו_י_צ_ב_
הופעל	עתיד	שלישי	נקבה	יחיד	תו_י_צ_ב_
הופעל	עתיד	ראשון	זכר 	רבים	נו_י_צ_ב_
הופעל	עתיד	ראשון	נקבה	רבים	נו_י_צ_ב_
הופעל	עתיד	שני 	זכר 	רבים	תו_י_צ_בו_
הופעל	עתיד	שני 	נקבה	רבים	תו_י_צ_בנה_
הופעל	עתיד	שלישי	זכר 	רבים	יו_י_צ_בו_
הופעל	עתיד	שלישי	נקבה	רבים	תו_י_צ_בנה_
התפעל	עבר 	ראשון	זכר 	יחיד	הת_י_צ_בתי_
התפעל	עבר 	ראשון	נקבה	יחיד	הת_י_צ_בתי_
התפעל	עבר 	שני 	זכר 	יחיד	הת_י_צ_בת_
התפעל	עבר 	שני 	נקבה	יחיד	הת_י_צ_בת_
התפעל	עבר 	שלישי	זכר 	יחיד	הת_י_צ_ב_
התפעל	עבר 	שלישי	נקבה	יחיד	הת_י_צ_בה_
התפעל	עבר 	ראשון	זכר 	רבים	הת_י_צ_בנו_
התפעל	עבר 	ראשון	נקבה	רבים	הת_י_צ_בנו_
התפעל	עבר 	שני 	זכר 	רבים	הת_י_צ_בתם_
התפעל	עבר 	שני 	נקבה	רבים	הת_י_צ_בתן_
התפעל	עבר 	שלישי	זכר 	רבים	הת_י_צ_בו_
התפעל	עבר 	שלישי	נקבה	רבים	הת_י_צ_בו_
התפעל	הווה	ראשון	זכר 	יחיד	מת_י_צ_ב_
התפעל	הווה	ראשון	נקבה	יחיד	מת_י_צ_בת_
התפעל	הווה	שני 	זכר 	יחיד	מת_י_צ_ב_
התפעל	הווה	שני 	נקבה	יחיד	מת_י_צ_בת_
התפעל	הווה	שלישי	זכר 	יחיד	מת_י_צ_ב_
התפעל	הווה	שלישי	נקבה	יחיד	מת_י_צ_בת_
התפעל	הווה	ראשון	זכר 	רבים	מת_י_צ_בים_
התפעל	הווה	ראשון	נקבה	רבים	מת_י_צ_בות_
התפעל	הווה	שני 	זכר 	רבים	מת_י_צ_בים_
התפעל	הווה	שני 	נקבה	רבים	מת_י_צ_בות_
התפעל	הווה	שלישי	זכר 	רבים	מת_י_צ_בים_
התפעל	הווה	שלישי	נקבה	רבים	מת_י_צ_בות_
