מצי
נפעל 	עבר 	ראשון	נקבה	יחיד	נ_מ_ציתי
נפעל 	עבר 	שני 	זכר 	יחיד	נ_מ_צית
נפעל 	עבר 	שני 	נקבה	יחיד	נ_מ_צית
נפעל 	עבר 	שלישי	זכר 	יחיד	נ_מ_צה
נפעל 	עבר 	שלישי	נקבה	יחיד	נ_מ_צתה
נפעל 	עבר 	ראשון	זכר 	רבים	נ_מ_צינו
נפעל 	עבר 	ראשון	נקבה	רבים	נ_מ_צינו
נפעל 	עבר 	שני 	זכר 	רבים	נ_מ_ציתם
נפעל 	עבר 	שני 	נקבה	רבים	נ_מ_ציתן
נפעל 	עבר 	שלישי	זכר 	רבים	נ_מ_צו
נפעל 	עבר 	שלישי	נקבה	רבים	נ_מ_צו
נפעל 	הווה	ראשון	זכר 	יחיד	נ_מ_צה
נפעל 	הווה	ראשון	נקבה	יחיד	נ_מ_צית
נפעל 	הווה	שני 	זכר 	יחיד	נ_מ_צה
נפעל 	הווה	שני 	נקבה	יחיד	נ_מ_צית
נפעל 	הווה	שלישי	זכר 	יחיד	נ_מ_צה
נפעל 	הווה	שלישי	נקבה	יחיד	נ_מ_צית
נפעל 	הווה	ראשון	זכר 	רבים	נ_מ_צים
נפעל 	הווה	ראשון	נקבה	רבים	נ_מ_צות
נפעל 	הווה	שני 	זכר 	רבים	נ_מ_צים
נפעל 	הווה	שני 	נקבה	רבים	נ_מ_צות
נפעל 	הווה	שלישי	זכר 	רבים	נ_מ_צים
נפעל 	הווה	שלישי	נקבה	רבים	נ_מ_צות
נפעל 	עתיד	ראשון	זכר 	יחיד	א_מ_צה
נפעל 	עתיד	ראשון	נקבה	יחיד	א_מ_צה
נפעל 	עתיד	שני 	זכר 	יחיד	ת_מ_צה
נפעל 	עתיד	שני 	נקבה	יחיד	ת_מ_צי
נפעל 	עתיד	שלישי	זכר 	יחיד	י_מ_צה
נפעל 	עתיד	שלישי	נקבה	יחיד	ת_מ_צה
נפעל 	עתיד	ראשון	זכר 	רבים	נ_מ_צה
נפעל 	עתיד	ראשון	נקבה	רבים	נ_מ_צה
נפעל 	עתיד	שני 	זכר 	רבים	ת_מ_צו
נפעל 	עתיד	שני 	נקבה	רבים	ת_מ_צינה
נפעל 	עתיד	שלישי	זכר 	רבים	י_מ_צו
נפעל 	עתיד	שלישי	נקבה	רבים	ת_מ_צינה
נפעל 	ציווי	שני 	זכר 	יחיד	ה_מ_צה
נפעל 	ציווי	שני 	נקבה	יחיד	ה_מ_צי
נפעל 	ציווי	שני 	זכר 	רבים	ה_מ_צו
נפעל 	ציווי	שני 	נקבה	רבים	ה_מ_צינה
פיעל	עבר 	ראשון	זכר 	יחיד	_מי_ציתי
פיעל	עבר 	ראשון	נקבה	יחיד	_מי_ציתי
פיעל	עבר 	שני 	זכר 	יחיד	_מי_צית
פיעל	עבר 	שני 	נקבה	יחיד	_מי_צית
פיעל	עבר 	שלישי	זכר 	יחיד	_מי_צה
פיעל	עבר 	שלישי	נקבה	יחיד	_מי_צתה
פיעל	עבר 	ראשון	זכר 	רבים	_מי_צינו
פיעל	עבר 	ראשון	נקבה	רבים	_מי_צינו
פיעל	עבר 	שני 	זכר 	רבים	_מי_ציתם
פיעל	עבר 	שני 	נקבה	רבים	_מי_ציתן
פיעל	עבר 	שלישי	זכר 	רבים	_מי_צו
פיעל	עבר 	שלישי	נקבה	רבים	_מי_צו
פיעל	הווה	ראשון	זכר 	יחיד	מ_מ_צה
פיעל	הווה	ראשון	נקבה	יחיד	מ_מ_צה
