התפעל 	עזר 	שלישי	נקבה	יחיד	ה_זד_ו_ו_נה
התפעל 	עזר 	ראשון	זכר 	רבים	ה_זד_ו_ו_נו
התפעל 	עזר 	ראשון	נקבה	רבים	ה_זד_ו_ו_נו
התפעל 	עזר 	שני 	זכר 	רבים	ה_זד_ו_ו_נתם
התפעל 	עזר 	שני 	נקבה	רבים	ה_זד_ו_ו_נתן
התפעל 	עזר 	שלישי	זכר 	רבים	ה_זד_ו_ו_נו
התפעל 	עזר 	שלישי	נקבה	רבים	ה_זד_ו_ו_נו
התפעל 	הווה	ראשון	זכר 	יחיד	מ_זד_ו_ו_נ
התפעל 	הווה	ראשון	נקבה	יחיד	מ_זד_ו_ו_נת
התפעל 	הווה	שני 	זכר 	יחיד	מ_זד_ו_ו_נ
התפעל 	הווה	שני 	נקבה	יחיד	מ_זד_ו_ו_נת
התפעל 	הווה	שלישי	זכר 	יחיד	מ_זד_ו_ו_נ
התפעל 	הווה	שלישי	נקבה	יחיד	מ_זד_ו_ו_נת
התפעל 	הווה	ראשון	זכר 	רבים	מ_זד_ו_ו_נים
התפעל 	הווה	ראשון	נקבה	רבים	מ_זד_ו_ו_נות
התפעל 	הווה	שני 	זכר 	רבים	מ_זד_ו_ו_נים
התפעל 	הווה	שני 	נקבה	רבים	מ_זד_ו_ו_נות
התפעל 	הווה	שלישי	זכר 	רבים	מ_זד_ו_ו_נים
התפעל 	הווה	שלישי	נקבה	רבים	מ_זד_ו_ו_נות
התפעל 	עתיד	ראשון	זכר 	יחיד	א_זד_ו_ו_נ
התפעל 	עתיד	ראשון	נקבה	יחיד	א_זד_ו_ו_נ
התפעל 	עתיד	שני 	זכר 	יחיד	ת_זד_ו_ו_נ
התפעל 	עתיד	שני 	נקבה	יחיד	ת_זד_ו_ו_ני
התפעל 	עתיד	שלישי	זכר 	יחיד	י_זד_ו_ו_נ
התפעל 	עתיד	שלישי	נקבה	יחיד	ת_זד_ו_ו_נ
התפעל 	עתיד	ראשון	זכר 	רבים	נ_זד_ו_ו_נ
התפעל 	עתיד	ראשון	נקבה	רבים	נ_זד_ו_ו_נ
התפעל 	עתיד	שני 	זכר 	רבים	_זד_ו_ו_נו
התפעל 	עתיד	שני 	נקבה	רבים	ת_זד_ו_ו_נה
התפעל 	עתיד	שלישי	זכר 	רבים	י_זד_ו_ו_נו
התפעל 	עתיד	שלישי	נקבה	רבים	ת_זד_ו_ו_נה
התפעל 	ציווי	שני 	זכר 	יחיד	ה_זד_ו_ו_נ
התפעל 	ציווי	שני 	נקבה	יחיד	ה_זד_ו_ו_ני
התפעל 	ציווי	שני 	זכר 	רבים	ה_זד_ו_ו_נו
התפעל 	ציווי	שני 	נקבה	רבים	ה_זד_ו_ו_נה
פיעל	עזר 	ראשון	זכר 	יחיד	_זו_נתי
פיעל	עזר 	ראשון	נקבה	יחיד	_זו_נתי
פיעל	עזר 	שני 	זכר 	יחיד	_זו_נת
פיעל	עזר 	שני 	נקבה	יחיד	_זו_נת
פיעל	עזר 	שלישי	זכר 	יחיד	_זו_נ
פיעל	עזר 	שלישי	נקבה	יחיד	_זו_נ
פיעל	עזר 	ראשון	זכר 	רבים	_זו_נו
פיעל	עזר 	ראשון	נקבה	רבים	_זו_נו
