התפעל	הווה	שלישי	נקבה	רבים	מ_צט_ל_מות
התפעל	עתיד	ראשון	זכר 	יחיד	א_צט_ל_מ
התפעל	עתיד	ראשון	נקבה	יחיד	א_צט_ל_מ
התפעל	עתיד	שני 	זכר 	יחיד	ת_צט_ל_מ
התפעל	עתיד	שני 	נקבה	יחיד	ת_צט_ל_מי
התפעל	עתיד	שלישי	זכר 	יחיד	י_צט_ל_מ
התפעל	עתיד	שלישי	נקבה	יחיד	ת_צט_ל_מ
התפעל	עתיד	ראשון	זכר 	רבים	נת_צ_ל_מ
התפעל	עתיד	ראשון	נקבה	רבים	נת_צ_ל_מ
התפעל	עתיד	שני 	זכר 	רבים	ת_צט_ל_מו
התפעל	עתיד	שני 	נקבה	רבים	ת_צט_ל_מנה
התפעל	עתיד	שלישי	זכר 	רבים	י_צט_ל_מו
התפעל	עתיד	שלישי	נקבה	רבים	ת_צט_ל_מנה
התפעל	ציווי	שני 	זכר 	יחיד	ה_צט_ל_מ
התפעל	ציווי	שני 	נקבה	יחיד	ה_צט_ל_מי
התפעל	ציווי	שני 	זכר 	רבים	ה_צט_ל_מו
התפעל	ציווי	שני 	נקבה	רבים	ה_צט_ל_מנה
