פועל	הווה	שני 	נקבה	יחיד	מ_בו_ס_סת_
פועל	הווה	שלישי	זכר 	יחיד	מ_בו_ס_ס_
פועל	הווה	שלישי	נקבה	יחיד	מ_בו_ס_סת_
פועל	הווה	ראשון	זכר 	רבים	מ_בו_ס_סים_
פועל	הווה	ראשון	נקבה	רבים	מ_בו_ס_סות_
פועל	הווה	שני 	זכר 	רבים	מ_בו_ס_סים_
פועל	הווה	שני 	נקבה	רבים	מ_בו_ס_סות_
פועל	הווה	שלישי	זכר 	רבים	מ_בו_ס_סים_
פועל	הווה	שלישי	נקבה	רבים	מ_בו_ס_סות_
פועל	עתיד	ראשון	זכר 	יחיד	א_בו_ס_ס_
פועל	עתיד	ראשון	נקבה	יחיד	א_בו_ס_ס_
פועל	עתיד	שני 	זכר 	יחיד	ת_בו_ס_ס_
פועל	עתיד	שני 	נקבה	יחיד	ת_בו_ס_סי_
פועל	עתיד	שלישי	זכר 	יחיד	י_בו_ס_ס_
פועל	עתיד	שלישי	נקבה	יחיד	ת_בו_ס_ס_
פועל	עתיד	ראשון	זכר 	רבים	נ_בו_ס_ס_
פועל	עתיד	ראשון	נקבה	רבים	נ_בו_ס_ס_
פועל	עתיד	שני 	זכר 	רבים	ת_בו_ס_סו_
פועל	עתיד	שני 	נקבה	רבים	ת_בו_ס_סו_
פועל	עתיד	שלישי	זכר 	רבים	י_בו_ס_סו_
פועל	עתיד	שלישי	נקבה	רבים	ת_בו_ס_סנה_
התפעל 	עבר 	ראשון	זכר 	יחיד	הת_בו_ס_סתי_
התפעל 	עבר 	ראשון	נקבה	יחיד	הת_בו_ס_סתי_
התפעל 	עבר 	שני 	זכר 	יחיד	הת_בו_ס_סת_
התפעל 	עבר 	שני 	נקבה	יחיד	הת_בו_ס_סת_
התפעל 	עבר 	שלישי	זכר 	יחיד	הת_בו_ס_ס_
התפעל 	עבר 	שלישי	נקבה	יחיד	הת_בו_ס_סה_
התפעל 	עבר 	ראשון	זכר 	רבים	הת_בו_ס_סנו_
התפעל 	עבר 	ראשון	נקבה	רבים	הת_בו_ס_סו_
התפעל 	עבר 	שני 	זכר 	רבים	הת_בו_ס_סתם_
התפעל 	עבר 	שני 	נקבה	רבים	הת_בו_ס_סתן_
התפעל 	עבר 	שלישי	זכר 	רבים	הת_בו_ס_סו_
התפעל 	עבר 	שלישי	נקבה	רבים	הת_בו_ס_סו_
התפעל 	הווה	ראשון	זכר 	יחיד	מת_בו_ס_ס_
התפעל 	הווה	ראשון	נקבה	יחיד	מת_בו_ס_סת_
התפעל 	הווה	שני 	זכר 	יחיד	מת_בו_ס_ס_
התפעל 	הווה	שני 	נקבה	יחיד	מת_בו_ס_סת_
התפעל 	הווה	שלישי	זכר 	יחיד	מת_בו_ס_ס_
התפעל 	הווה	שלישי	נקבה	יחיד	מת_בו_ס_סת_
התפעל 	הווה	ראשון	זכר 	רבים	מת_בו_ס_סים_
התפעל 	הווה	ראשון	נקבה	רבים	מת_בו_ס_סות_
התפעל 	הווה	שני 	זכר 	רבים	מת_בו_ס_סים_
התפעל 	הווה	שני 	נקבה	רבים	מת_בו_ס_סות_
התפעל 	הווה	שלישי	זכר 	רבים	מת_בו_ס_סים_
התפעל 	הווה	שלישי	נקבה	רבים	מת_בו_ס_סות_
התפעל 	עתיד	ראשון	זכר 	יחיד	את_בו_ס_ס_
התפעל 	עתיד	ראשון	נקבה	יחיד	את_בו_ס_ס_
התפעל 	עתיד	שני 	זכר 	יחיד	תת_בו_ס_ס_
התפעל 	עתיד	שני 	נקבה	יחיד	ת_בו_ס_סי_
התפעל 	עתיד	שלישי	זכר 	יחיד	ית_בו_ס_ס_
התפעל 	עתיד	שלישי	נקבה	יחיד	תת_בו_ס_ס_
התפעל 	עתיד	ראשון	זכר 	רבים	נת_בו_ס_ס_
התפעל 	עתיד	ראשון	נקבה	רבים	נת_בו_ס_ס_
התפעל 	עתיד	שני 	זכר 	רבים	ת_בו_ס_סו_
התפעל 	עתיד	שני 	נקבה	רבים	תת_בו_ס_סנה_
התפעל 	עתיד	שלישי	זכר 	רבים	ית_בו_ס_סו_
התפעל 	עתיד	שלישי	נקבה	רבים	תת_בו_ס_סנה_
התפעל 	ציווי	שני 	זכר 	יחיד	הת_בו_ס_ס_
התפעל 	ציווי	שני 	נקבה	יחיד	הת_בו_ס_סי_
התפעל 	ציווי	שני 	זכר 	רבים	הת_בו_ס_סו_
התפעל 	ציווי	שני 	נקבה	רבים	הת_בו_ס_סנה
