הופעל	עבר 	ראשון	זכר 	יחיד	הו_ז_ק_רתי_
הופעל	עבר 	ראשון	נקבה	יחיד	הו_ז_ק_רתי_
הופעל	עבר 	שני 	זכר 	יחיד	הו_ז_ק_רת_
הופעל	עבר 	שני 	נקבה	יחיד	הו_ז_ק_רת_
הופעל	עבר 	שלישי	זכר 	יחיד	הו_ז_ק_ר_
הופעל	עבר 	שלישי	נקבה	יחיד	הו_ז_ק_רה_
הופעל	עבר 	ראשון	זכר 	רבים	הו_ז_ק_רנו_
הופעל	עבר 	ראשון	נקבה	רבים	הו_ז_ק_רנו_
הופעל	עבר 	שני 	זכר 	רבים	הו_ז_ק_רתם_
הופעל	עבר 	שני 	נקבה	רבים	הו_ז_ק_רתן_
הופעל	עבר 	שלישי	זכר 	רבים	הו_ז_ק_רו_
הופעל	עבר 	שלישי	נקבה	רבים	הו_ז_ק_רו_
הופעל	הווה	ראשון	זכר 	יחיד	מו_ז_ק_ר_
הופעל	הווה	ראשון	נקבה	יחיד	מו_ז_ק_רת_
הופעל	הווה	שני 	זכר 	יחיד	מו_ז_ק_ר_
הופעל	הווה	שני 	נקבה	יחיד	מו_ז_ק_רת_
הופעל	הווה	שלישי	זכר 	יחיד	מו_ז_ק_ר_
הופעל	הווה	שלישי	נקבה	יחיד	מו_ז_ק_רת_
הופעל	הווה	ראשון	זכר 	רבים	מו_ז_ק_רים_
הופעל	הווה	ראשון	נקבה	רבים	מו_ז_ק_רות_
הופעל	הווה	שני 	זכר 	רבים	מו_ז_ק_רים_
הופעל	הווה	שני 	נקבה	רבים	מו_ז_ק_רות_
הופעל	הווה	שלישי	זכר 	רבים	מו_ז_ק_רים_
הופעל	הווה	שלישי	נקבה	רבים	מו_ז_ק_רות_
הופעל	עתיד	ראשון	זכר 	יחיד	או_ז_ק_ר_
הופעל	עתיד	ראשון	נקבה	יחיד	או_ז_ק_ר_
הופעל	עתיד	שני 	זכר 	יחיד	תו_ז_ק_ר_
הופעל	עתיד	שני 	נקבה	יחיד	תו_ז_ק_רי_
הופעל	עתיד	שלישי	זכר 	יחיד	יו_ז_ק_ר_
הופעל	עתיד	שלישי	נקבה	יחיד	תו_ז_ק_ר_
הופעל	עתיד	ראשון	זכר 	רבים	נו_ז_ק_ר_
הופעל	עתיד	ראשון	נקבה	רבים	נו_ז_ק_ר_
הופעל	עתיד	שני 	זכר 	רבים	תו_ז_ק_רו_
הופעל	עתיד	שני 	נקבה	רבים	תו_ז_ק_רנה_
הופעל	עתיד	שלישי	זכר 	רבים	יו_ז_ק_רו_
הופעל	עתיד	שלישי	נקבה	רבים	תו_ז_ק_רנה_
התפעל	עבר 	ראשון	זכר 	יחיד	ה_זד_ק_רתי_
התפעל	עבר 	ראשון	נקבה	יחיד	ה_זד_ק_רתי_
התפעל	עבר 	שני 	זכר 	יחיד	ה_זד_ק_רת_
התפעל	עבר 	שני 	נקבה	יחיד	ה_זד_ק_רת_
התפעל	עבר 	שלישי	זכר 	יחיד	ה_זד_ק_ר_
התפעל	עבר 	שלישי	נקבה	יחיד	ה_זד_ק_רה_
התפעל	עבר 	ראשון	זכר 	רבים	ה_זד_ק_רנו_
התפעל	עבר 	ראשון	נקבה	רבים	ה_זד_ק_רנו_
התפעל	עבר 	שני 	זכר 	רבים	ה_זד_ק_רתם_
התפעל	עבר 	שני 	נקבה	רבים	ה_זד_ק_רתן_
התפעל	עבר 	שלישי	זכר 	רבים	ה_זד_ק_רו_
התפעל	עבר 	שלישי	נקבה	רבים	ה_זד_ק_רו_
התפעל	הווה	ראשון	זכר 	יחיד	מ_זד_ק_ר_
התפעל	הווה	ראשון	נקבה	יחיד	מ_זד_ק_רת_
התפעל	הווה	שני 	זכר 	יחיד	מ_זד_ק_ר_
התפעל	הווה	שני 	נקבה	יחיד	מ_זד_ק_רת_
התפעל	הווה	שלישי	זכר 	יחיד	מ_זד_ק_ר_
התפעל	הווה	שלישי	נקבה	יחיד	מ_זד_ק_רת_
התפעל	הווה	ראשון	זכר 	רבים	מ_זד_ק_רים_
התפעל	הווה	ראשון	נקבה	רבים	מ_זד_ק_רות_
התפעל	הווה	שני 	זכר 	רבים	מ_זד_ק_רים_
התפעל	הווה	שני 	נקבה	רבים	מ_זד_ק_רות_
התפעל	הווה	שלישי	זכר 	רבים	מ_זד_ק_רים_
התפעל	הווה	שלישי	נקבה	רבים	מ_זד_ק_רות_
התפעל	עתיד	ראשון	זכר 	יחיד	א_זד_ק_ר_
התפעל	עתיד	ראשון	נקבה	יחיד	א_זד_ק_ר_
התפעל	עתיד	שני 	זכר 	יחיד	ת_זד_ק_ר_
התפעל	עתיד	שני 	נקבה	יחיד	ת_זד_ק_רי_
התפעל	עתיד	שלישי	זכר 	יחיד	י_זד_ק_ר_
התפעל	עתיד	שלישי	נקבה	יחיד	ת_זד_ק_ר_
התפעל	עתיד	ראשון	זכר 	רבים	נת_ז_ק_ר_
התפעל	עתיד	ראשון	נקבה	רבים	נת_ז_ק_ר_
התפעל	עתיד	שני 	זכר 	רבים	ת_זד_ק_רו_
התפעל	עתיד	שני 	נקבה	רבים	ת_זד_ק_רנה_
התפעל	עתיד	שלישי	זכר 	רבים	י_זד_ק_רו_
התפעל	עתיד	שלישי	נקבה	רבים	ת_זד_ק_רנה_
התפעל	ציווי	שני 	זכר 	יחיד	ה_זד_ק_ר_
התפעל	ציווי	שני 	נקבה	יחיד	ה_זד_ק_רי_
התפעל	ציווי	שני 	זכר 	רבים	ה_זד_ק_רו_
התפעל	ציווי	שני 	נקבה	רבים	ה_זד_ק_רנה_
