פועל	עתיד	שלישי	זכר 	יחיד	י_יו_צ_ב
פועל	עתיד	שלישי	נקבה	יחיד	ת_יו_צ_ב
פועל	עתיד	ראשון	זכר 	רבים	נ_יו_צ_ב
פועל	עתיד	ראשון	נקבה	רבים	נ_יו_צ_ב
פועל	עתיד	שני 	זכר 	רבים	ת_יו_צ_בו
פועל	עתיד	שני 	נקבה	רבים	ת_יו_צ_בנה
פועל	עתיד	שלישי	זכר 	רבים	י_יו_צ_בו
פועל	עתיד	שלישי	נקבה	רבים	ת_יו_צ_בנה
הפעיל	עבר 	ראשון	זכר 	יחיד	ה_י_צ_בתי
הפעיל	עבר 	ראשון	נקבה	יחיד	ה_י_צ_בתי
הפעיל	עבר 	שני 	זכר 	יחיד	ה_י_צ_בת
הפעיל	עבר 	שני 	נקבה	יחיד	ה_י_צ_בת
הפעיל	עבר 	שלישי	זכר 	יחיד	ה_י_צי_ב
הפעיל	עבר 	שלישי	נקבה	יחיד	ה_י_צי_ב
הפעיל	עבר 	ראשון	זכר 	רבים	ה_י_צ_בנו
הפעיל	עבר 	ראשון	נקבה	רבים	ה_י_צ_בנו
הפעיל	עבר 	שני 	זכר 	רבים	ה_י_צ_בתם
הפעיל	עבר 	שני 	נקבה	רבים	ה_י_צ_בתן
הפעיל	עבר 	שלישי	זכר 	רבים	ה_י_צי_בו
הפעיל	עבר 	שלישי	נקבה	רבים	ה_י_צי_בו
הפעיל	הווה	ראשון	זכר 	יחיד	מ_י_צי_ב
הפעיל	הווה	ראשון	נקבה	יחיד	מ_י_צי_בה
הפעיל	הווה	שני 	זכר 	יחיד	מ_י_צי_ב
הפעיל	הווה	שני 	נקבה	יחיד	מ_י_צי_בה
הפעיל	הווה	שלישי	זכר 	יחיד	מ_י_צי_ב
הפעיל	הווה	שלישי	נקבה	יחיד	מ_י_צי_בה
הפעיל	הווה	ראשון	זכר 	רבים	מ_י_צי_בים
הפעיל	הווה	ראשון	נקבה	רבים	מ_י_צי_בות
הפעיל	הווה	שני 	זכר 	רבים	מ_י_צי_בים
הפעיל	הווה	שני 	נקבה	רבים	מ_י_צי_בות
הפעיל	הווה	שלישי	זכר 	רבים	מ_י_צי_בים
הפעיל	הווה	שלישי	נקבה	רבים	מ_י_צי_בות
הפעיל	עתיד	ראשון	זכר 	יחיד	א_י_צי_ב
הפעיל	עתיד	ראשון	נקבה	יחיד	א_י_צי_ב
הפעיל	עתיד	שני 	זכר 	יחיד	ת_י_צי_ב
הפעיל	עתיד	שני 	נקבה	יחיד	ת_י_צי_בי
הפעיל	עתיד	שלישי	זכר 	יחיד	י_י_צי_ב
הפעיל	עתיד	שלישי	נקבה	יחיד	ת_י_צי_ב
הפעיל	עתיד	ראשון	זכר 	רבים	נ_י_צי_ב
הפעיל	עתיד	ראשון	נקבה	רבים	נ_י_צי_ב
הפעיל	עתיד	שני 	זכר 	רבים	ת_י_צי_בו
הפעיל	עתיד	שני 	נקבה	רבים	ת_י_צ_בנה
הפעיל	עתיד	שלישי	זכר 	רבים	י_י_צי_בו
הפעיל	עתיד	שלישי	נקבה	רבים	ת_י_צ_בנה
הפעיל	ציווי	שני 	זכר 	יחיד	ה_י_צ_ב
הפעיל	ציווי	שני 	נקבה	יחיד	ה_י_צי_בי
הפעיל	ציווי	שני 	זכר 	רבים	ה_י_צי_בו
הפעיל	ציווי	שני 	נקבה	רבים	ה_י_צ_בנה
הופעל	עבר 	ראשון	זכר 	יחיד	הו_י_צ_בתי
הופעל	עבר 	ראשון	נקבה	יחיד	הו_י_צ_בתי
הופעל	עבר 	שני 	זכר 	יחיד	הו_י_צ_בת
הופעל	עבר 	שני 	נקבה	יחיד	הו_י_צ_בת
הופעל	עבר 	שלישי	זכר 	יחיד	הו_י_צ_ב
הופעל	עבר 	שלישי	נקבה	יחיד	הו_י_צ_בה
הופעל	עבר 	ראשון	זכר 	רבים	הו_י_צ_בנו
הופעל	עבר 	ראשון	נקבה	רבים	הו_י_צ_בנו
הופעל	עבר 	שני 	זכר 	רבים	הו_י_צ_בתם
הופעל	עבר 	שני 	נקבה	רבים	הו_י_צ_בתן
