יצב
פעל 	הווה	_	_ 	_	ליצו_ב
התפעל	עבר 	שלישי	נקבה	יחיד	התיצ_בה
התפעל	עבר 	ראשון	זכר 	רבים	התיצ_בנו
התפעל	עבר 	ראשון	נקבה	רבים	התיצ_בנו
התפעל	עבר 	שני 	זכר 	רבים	התיצ_בתמ
התפעל	עבר 	שני 	נקבה	רבים	התיצ_בתנ
התפעל	עבר 	שלישי	זכר 	רבים	התיצ_בו
התפעל	עבר 	שלישי	נקבה	רבים	התיצ_בו
התפעל	הווה	ראשון	זכר 	יחיד	מתיצ_ב
התפעל	הווה	ראשון	נקבה	יחיד	מתיצ_בת
התפעל	הווה	שני 	זכר 	יחיד	מתיצ_ב
התפעל	הווה	שני 	נקבה	יחיד	מתיצ_בת
התפעל	הווה	שלישי	זכר 	יחיד	מתיצ_ב
התפעל	הווה	שלישי	נקבה	יחיד	מתיצ_בת
התפעל	הווה	ראשון	זכר 	רבים	מתיצ_בימ
התפעל	הווה	ראשון	נקבה	רבים	מתיצ_בות
התפעל	הווה	שני 	זכר 	רבים	מתיצ_בימ
התפעל	הווה	שני 	נקבה	רבים	מתיצ_בות
התפעל	הווה	שלישי	זכר 	רבים	מתיצ_בימ
התפעל	הווה	שלישי	נקבה	רבים	מתיצ_בות
התפעל	עתיד	ראשון	זכר 	יחיד	אתיצ_ב
התפעל	עתיד	ראשון	נקבה	יחיד	אתיצ_ב
התפעל	עתיד	שני 	זכר 	יחיד	תתיצ_ב
התפעל	עתיד	שני 	נקבה	יחיד	תתיצ_בי
התפעל	עתיד	שלישי	זכר 	יחיד	יתיצ_ב
התפעל	עתיד	שלישי	נקבה	יחיד	תתיצ_ב
התפעל	עתיד	ראשון	זכר 	רבים	נתיצ_ב
התפעל	עתיד	ראשון	נקבה	רבים	נתיצ_ב
התפעל	עתיד	שני 	זכר 	רבים	תתיצ_בו
התפעל	עתיד	שני 	נקבה	רבים	תתיצ_בנה
התפעל	עתיד	שלישי	זכר 	רבים	יתיצ_בו
התפעל	עתיד	שלישי	נקבה	רבים	תתיצ_בנה
התפעל	ציווי	שני 	זכר 	יחיד	התיצ_ב
התפעל	ציווי	שני 	נקבה	יחיד	התיצ_בי
התפעל	ציווי	שני 	זכר 	רבים	התיצ_בו
התפעל	ציווי	שני 	נקבה	רבים	התיצ_בנה
