לוי
פעל 	הווה	_	_ 	_	ל_נוות
התפעל 	עתיד	ראשון	זכר 	רבים	נת_נ_וה
התפעל 	עתיד	ראשון	נקבה	רבים	נת_נ_וה
התפעל 	עתיד	שני 	זכר 	רבים	תת_נ_וו
התפעל 	עתיד	שני 	נקבה	רבים	תת_נ_וינה
התפעל 	עתיד	שלישי	זכר 	רבים	ית_נ_וו
התפעל 	עתיד	שלישי	נקבה	רבים	תת_נ_וינה
התפעל 	ציווי	שני 	זכר 	יחיד	הת_נ_וה
התפעל 	ציווי	שני 	נקבה	יחיד	הת_נ_וי
התפעל 	ציווי	שני 	זכר 	רבים	הת_נ_וו
התפעל 	ציווי	שני 	נקבה	רבים	הת_נ_וינה
