תשש
פעל 	הווה	_	_ 	_	ל_ת_שו_ש
הופעל	עתיד	שלישי	זכר 	יחיד	יו_ת_ש
הופעל	עתיד	שלישי	נקבה	יחיד	תו_ת_ש
הופעל	עתיד	ראשון	זכר 	רבים	נו_ת_ש
הופעל	עתיד	ראשון	נקבה	רבים	נו_ת_ש
הופעל	עתיד	שני 	זכר 	רבים	תו_ת_שו
הופעל	עתיד	שני 	נקבה	רבים	תו_ת_שנה
הופעל	עתיד	שלישי	זכר 	רבים	יו_ת_שו
הופעל	עתיד	שלישי	נקבה	רבים	תו_ת_שנה
התפעל	עבר 	ראשון	זכר 	יחיד	ה_ת_ש_שתי
התפעל	עבר 	ראשון	נקבה	יחיד	ה_ת_ש_שתי
התפעל	עבר 	שני 	זכר 	יחיד	ה_ת_ש_שת
התפעל	עבר 	שני 	נקבה	יחיד	ה_ת_ש_שת
התפעל	עבר 	שלישי	זכר 	יחיד	ה_ת_ש_ש
התפעל	עבר 	שלישי	נקבה	יחיד	ה_ת_ש_שה
התפעל	עבר 	ראשון	זכר 	רבים	ה_ת_ש_שנו
התפעל	עבר 	ראשון	נקבה	רבים	ה_ת_ש_שו
התפעל	עבר 	שני 	זכר 	רבים	ה_ת_ש_שתמ
התפעל	עבר 	שני 	נקבה	רבים	ה_ת_ש_שתנ
התפעל	עבר 	שלישי	זכר 	רבים	ה_ת_ש_שו
התפעל	עבר 	שלישי	נקבה	רבים	ה_ת_ש_שו
התפעל	הווה	ראשון	זכר 	יחיד	מ_ת_ש_ש
התפעל	הווה	ראשון	נקבה	יחיד	מ_ת_ש_שת
התפעל	הווה	שני 	זכר 	יחיד	מ_ת_ש_ש
התפעל	הווה	שני 	נקבה	יחיד	מ_ת_ש_שת
התפעל	הווה	שלישי	זכר 	יחיד	מ_ת_ש_ש
התפעל	הווה	שלישי	נקבה	יחיד	מ_ת_ש_שת
התפעל	הווה	ראשון	זכר 	רבים	מ_ת_ש_שימ
התפעל	הווה	ראשון	נקבה	רבים	מ_ת_ש_שות
התפעל	הווה	שני 	זכר 	רבים	מ_ת_ש_שימ
התפעל	הווה	שני 	נקבה	רבים	מ_ת_ש_שות
התפעל	הווה	שלישי	זכר 	רבים	מ_ת_ש_שימ
התפעל	הווה	שלישי	נקבה	רבים	מ_ת_ש_שות
התפעל	עתיד	ראשון	זכר 	יחיד	א_ת_ש_ש
התפעל	עתיד	ראשון	נקבה	יחיד	א_ת_ש_ש
התפעל	עתיד	שני 	זכר 	יחיד	ת_ת_ש_ש
התפעל	עתיד	שני 	נקבה	יחיד	ת_ת_ש_שי
