דגר
פעל 	הווה	_	_ 	_	ל_ד_גו_ר
הפעיל	עבר 	שני 	זכר 	יחיד	ה_ד_ג_רת
הפעיל	עבר 	שני 	נקבה	יחיד	ה_ד_ג_רת
הפעיל	עבר 	שלישי	זכר 	יחיד	ה_ד_גי_ר
הפעיל	עבר 	שלישי	נקבה	יחיד	ה_ד_גי_ר
הפעיל	עבר 	ראשון	זכר 	רבים	ה_ד_ג_רנו
הפעיל	עבר 	ראשון	נקבה	רבים	ה_ד_ג_רנו
הפעיל	עבר 	שני 	זכר 	רבים	ה_ד_ג_רתמ
הפעיל	עבר 	שני 	נקבה	רבים	ה_ד_ג_רתנ
הפעיל	עבר 	שלישי	זכר 	רבים	ה_ד_גי_רו
הפעיל	עבר 	שלישי	נקבה	רבים	ה_ד_גי_רו
הפעיל	הווה	ראשון	זכר 	יחיד	מ_ד_גי_ר
הפעיל	הווה	ראשון	נקבה	יחיד	מ_ד_גי_רה
הפעיל	הווה	שני 	זכר 	יחיד	מ_ד_גי_ר
הפעיל	הווה	שני 	נקבה	יחיד	מ_ד_גי_רה
הפעיל	הווה	שלישי	זכר 	יחיד	מ_ד_גי_ר
הפעיל	הווה	שלישי	נקבה	יחיד	מ_ד_גי_רה
הפעיל	הווה	ראשון	זכר 	רבים	מ_ד_גי_רימ
הפעיל	הווה	ראשון	נקבה	רבים	מ_ד_גי_רות
הפעיל	הווה	שני 	זכר 	רבים	מ_ד_גי_רימ
הפעיל	הווה	שני 	נקבה	רבים	מ_ד_גי_רות
הפעיל	הווה	שלישי	זכר 	רבים	מ_ד_גי_רימ
הפעיל	הווה	שלישי	נקבה	רבים	מ_ד_גי_רות
הפעיל	עתיד	ראשון	זכר 	יחיד	א_ד_גי_ר
הפעיל	עתיד	ראשון	נקבה	יחיד	א_ד_גי_ר
הפעיל	עתיד	שני 	זכר 	יחיד	ת_ד_גי_ר
הפעיל	עתיד	שני 	נקבה	יחיד	ת_ד_גי_רי
הפעיל	עתיד	שלישי	זכר 	יחיד	י_ד_גי_ר
הפעיל	עתיד	שלישי	נקבה	יחיד	ת_ד_גי_ר
הפעיל	עתיד	ראשון	זכר 	רבים	נ_ד_גי_ר
הפעיל	עתיד	ראשון	נקבה	רבים	נ_ד_גי_ר
הפעיל	עתיד	שני 	זכר 	רבים	ת_ד_גי_רו
הפעיל	עתיד	שני 	נקבה	רבים	ת_ד_ג_רנה
הפעיל	עתיד	שלישי	זכר 	רבים	י_ד_גי_רו
הפעיל	עתיד	שלישי	נקבה	רבים	ת_ד_ג_רנה
הפעיל	ציווי	שני 	זכר 	יחיד	ה_ד_ג_ר
הפעיל	ציווי	שני 	נקבה	יחיד	ה_ד_גי_רי
הפעיל	ציווי	שני 	זכר 	רבים	ה_ד_גי_רו
הפעיל	ציווי	שני 	נקבה	רבים	ה_ד_ג_רנה
הופעל	עבר 	ראשון	זכר 	יחיד	הו_ד_ג_רתי
הופעל	עבר 	ראשון	נקבה	יחיד	הו_ד_ג_רתי
הופעל	עבר 	שני 	זכר 	יחיד	הו_ד_ג_רת
הופעל	עבר 	שני 	נקבה	יחיד	הו_ד_ג_רת
הופעל	עבר 	שלישי	זכר 	יחיד	הו_ד_ג_ר
הופעל	עבר 	שלישי	נקבה	יחיד	הו_ד_ג_רה
הופעל	עבר 	ראשון	זכר 	רבים	הו_ד_ג_רנו
הופעל	עבר 	ראשון	נקבה	רבים	הו_ד_ג_רנו
הופעל	עבר 	שני 	זכר 	רבים	הו_ד_ג_רתמ
הופעל	עבר 	שני 	נקבה	רבים	הו_ד_ג_רתנ
הופעל	עבר 	שלישי	זכר 	רבים	הו_ד_ג_רו
הופעל	עבר 	שלישי	נקבה	רבים	הו_ד_ג_רו
הופעל	הווה	ראשון	זכר 	יחיד	מו_ד_ג_ר
הופעל	הווה	ראשון	נקבה	יחיד	מו_ד_ג_רת
הופעל	הווה	שני 	זכר 	יחיד	מו_ד_ג_ר
הופעל	הווה	שני 	נקבה	יחיד	מו_ד_ג_רת
הופעל	הווה	שלישי	זכר 	יחיד	מו_ד_ג_ר
הופעל	הווה	שלישי	נקבה	יחיד	מו_ד_ג_רת
הופעל	הווה	ראשון	זכר 	רבים	מו_ד_ג_רימ
הופעל	הווה	ראשון	נקבה	רבים	מו_ד_ג_רות
הופעל	הווה	שני 	זכר 	רבים	מו_ד_ג_רימ
הופעל	הווה	שני 	נקבה	רבים	מו_ד_ג_רות
הופעל	הווה	שלישי	זכר 	רבים	מו_ד_ג_רימ
הופעל	הווה	שלישי	נקבה	רבים	מו_ד_ג_רות
הופעל	עתיד	ראשון	זכר 	יחיד	או_ד_ג_ר
הופעל	עתיד	ראשון	נקבה	יחיד	או_ד_ג_ר
הופעל	עתיד	שני 	זכר 	יחיד	תו_ד_ג_ר
הופעל	עתיד	שני 	נקבה	יחיד	תו_ד_ג_רי
הופעל	עתיד	שלישי	זכר 	יחיד	יו_ד_ג_ר
הופעל	עתיד	שלישי	נקבה	יחיד	תו_ד_ג_ר
הופעל	עתיד	ראשון	זכר 	רבים	נו_ד_ג_ר
הופעל	עתיד	ראשון	נקבה	רבים	נו_ד_ג_ר
הופעל	עתיד	שני 	זכר 	רבים	תו_ד_ג_רו
הופעל	עתיד	שני 	נקבה	רבים	תו_ד_ג_רנה
הופעל	עתיד	שלישי	זכר 	רבים	יו_ד_ג_רו
הופעל	עתיד	שלישי	נקבה	רבים	תו_ד_ג_רנה
התפעל	עבר 	ראשון	זכר 	יחיד	ה_ד_ג_רתי
