נסק
פעל 	הווה	_	_ 	_	ל_נ_סו_ק
הפעיל	עתיד	שני 	זכר 	רבים	ת_סי_קו
הפעיל	עתיד	שני 	נקבה	רבים	ת_ס_קנה
הפעיל	עתיד	שלישי	זכר 	רבים	י_סי_קו
הפעיל	עתיד	שלישי	נקבה	רבים	ת_ס_קנה
הפעיל	ציווי	שני 	זכר 	יחיד	ה_ס_ק
הפעיל	ציווי	שני 	נקבה	יחיד	ה_סי_קי
הפעיל	ציווי	שני 	זכר 	רבים	ה_סי_קו
הפעיל	ציווי	שני 	נקבה	רבים	ה_ס_קנה
הופעל	עבר 	ראשון	זכר 	יחיד	הו_ס_קתי
הופעל	עבר 	ראשון	נקבה	יחיד	הו_ס_קתי
הופעל	עבר 	שני 	זכר 	יחיד	הו_ס_קת
הופעל	עבר 	שני 	נקבה	יחיד	הו_ס_קת
הופעל	עבר 	שלישי	זכר 	יחיד	הו_ס_ק
הופעל	עבר 	שלישי	נקבה	יחיד	הו_ס_קה
הופעל	עבר 	ראשון	זכר 	רבים	הו_ס_קנו
הופעל	עבר 	ראשון	נקבה	רבים	הו_ס_קנו
הופעל	עבר 	שני 	זכר 	רבים	הו_ס_קתמ
הופעל	עבר 	שני 	נקבה	רבים	הו_ס_קתנ
הופעל	עבר 	שלישי	זכר 	רבים	הו_ס_קו
הופעל	עבר 	שלישי	נקבה	רבים	הו_ס_קו
הופעל	הווה	ראשון	זכר 	יחיד	מו_ס_ק
הופעל	הווה	ראשון	נקבה	יחיד	מו_ס_קת
הופעל	הווה	שני 	זכר 	יחיד	מו_ס_ק
הופעל	הווה	שני 	נקבה	יחיד	מו_ס_קת
הופעל	הווה	שלישי	זכר 	יחיד	מו_ס_ק
הופעל	הווה	שלישי	נקבה	יחיד	מו_ס_קת
הופעל	הווה	ראשון	זכר 	רבים	מו_ס_קימ
הופעל	הווה	ראשון	נקבה	רבים	מו_ס_קות
הופעל	הווה	שני 	זכר 	רבים	מו_ס_קימ
הופעל	הווה	שני 	נקבה	רבים	מו_ס_קות
הופעל	הווה	שלישי	זכר 	רבים	מו_ס_קימ
הופעל	הווה	שלישי	נקבה	רבים	מו_ס_קות
הופעל	עתיד	ראשון	זכר 	יחיד	או_ס_ק
הופעל	עתיד	ראשון	נקבה	יחיד	או_ס_ק
הופעל	עתיד	שני 	זכר 	יחיד	תו_ס_ק
הופעל	עתיד	שני 	נקבה	יחיד	תו_ס_קי
הופעל	עתיד	שלישי	זכר 	יחיד	יו_ס_ק
הופעל	עתיד	שלישי	נקבה	יחיד	תו_ס_ק
הופעל	עתיד	ראשון	זכר 	רבים	נו_ס_ק
הופעל	עתיד	ראשון	נקבה	רבים	נו_ס_ק
הופעל	עתיד	שני 	זכר 	רבים	תו_ס_קו
הופעל	עתיד	שני 	נקבה	רבים	תו_ס_קנה
הופעל	עתיד	שלישי	זכר 	רבים	יו_ס_קו
הופעל	עתיד	שלישי	נקבה	רבים	תו_ס_קנה
התפעל	עבר 	ראשון	זכר 	יחיד	הת_נ_ס_קתי
התפעל	עבר 	ראשון	נקבה	יחיד	הת_נ_ס_קתי
התפעל	עבר 	שני 	זכר 	יחיד	הת_נ_ס_קת
התפעל	עבר 	שני 	נקבה	יחיד	הת_נ_ס_קת
התפעל	עבר 	שלישי	זכר 	יחיד	הת_נ_ס_ק
התפעל	עבר 	שלישי	נקבה	יחיד	הת_נ_ס_קה
התפעל	עבר 	ראשון	זכר 	רבים	הת_נ_ס_קנו
התפעל	עבר 	ראשון	נקבה	רבים	הת_נ_ס_קנו
התפעל	עבר 	שני 	זכר 	רבים	הת_נ_ס_קתמ
התפעל	עבר 	שני 	נקבה	רבים	הת_נ_ס_קתנ
התפעל	עבר 	שלישי	זכר 	רבים	הת_נ_ס_קו
התפעל	עבר 	שלישי	נקבה	רבים	הת_נ_ס_קו
התפעל	הווה	ראשון	זכר 	יחיד	מת_נ_ס_ק
התפעל	הווה	ראשון	נקבה	יחיד	מת_נ_ס_קת
התפעל	הווה	שני 	זכר 	יחיד	מת_נ_ס_ק
התפעל	הווה	שני 	נקבה	יחיד	מת_נ_ס_קת
התפעל	הווה	שלישי	זכר 	יחיד	מת_נ_ס_ק
התפעל	הווה	שלישי	נקבה	יחיד	מת_נ_ס_קת
התפעל	הווה	ראשון	זכר 	רבים	מת_נ_ס_קימ
התפעל	הווה	ראשון	נקבה	רבים	מת_נ_ס_קות
התפעל	הווה	שני 	זכר 	רבים	מת_נ_ס_קימ
התפעל	הווה	שני 	נקבה	רבים	מת_נ_ס_קות
התפעל	הווה	שלישי	זכר 	רבים	מת_נ_ס_קימ
התפעל	הווה	שלישי	נקבה	רבים	מת_נ_ס_קות
התפעל	עתיד	ראשון	זכר 	יחיד	את_נ_ס_ק
התפעל	עתיד	ראשון	נקבה	יחיד	את_נ_ס_ק
התפעל	עתיד	שני 	זכר 	יחיד	תת_נ_ס_ק
התפעל	עתיד	שני 	נקבה	יחיד	תת_נ_ס_קי
התפעל	עתיד	שלישי	זכר 	יחיד	ית_נ_ס_ק
התפעל	עתיד	שלישי	נקבה	יחיד	תת_נ_ס_ק
התפעל	עתיד	ראשון	זכר 	רבים	נת_נ_ס_ק
התפעל	עתיד	ראשון	נקבה	רבים	נת_נ_ס_ק
התפעל	עתיד	שני 	זכר 	רבים	תת_נ_ס_קו
התפעל	עתיד	שני 	נקבה	רבים	תת_נ_ס_קנה
התפעל	עתיד	שלישי	זכר 	רבים	ית_נ_ס_קו
התפעל	עתיד	שלישי	נקבה	רבים	תת_נ_ס_קנה
התפעל	ציווי	שני 	זכר 	יחיד	הת_נ_ס_ק
התפעל	ציווי	שני 	נקבה	יחיד	הת_נ_ס_קי
התפעל	ציווי	שני 	זכר 	רבים	הת_נ_ס_קו
התפעל	ציווי	שני 	נקבה	רבים	הת_נ_ס_קנה
