זרי
הופעל 	עבר 	ראשון	נקבה	יחיד	ה_ז_ריתי
הופעל 	עבר 	שני 	זכר 	יחיד	ה_ז_רית
הופעל 	עבר 	שני 	נקבה	יחיד	ה_ז_רית
הופעל 	עבר 	שלישי	זכר 	יחיד	ה_ז_רה
הופעל 	עבר 	שלישי	נקבה	יחיד	ה_ז_רתה
הופעל 	עבר 	ראשון	זכר 	רבים	ה_ז_רינו
הופעל 	עבר 	ראשון	נקבה	רבים	ה_ז_רינו
הופעל 	עבר 	שני 	זכר 	רבים	ה_ז_ריתמ
הופעל 	עבר 	שני 	נקבה	רבים	ה_ז_ריתנ
הופעל 	עבר 	שלישי	זכר 	רבים	ה_ז_רו
הופעל 	עבר 	שלישי	נקבה	רבים	ה_ז_רו
הופעל 	הווה	ראשון	זכר 	יחיד	מ_ז_רה
הופעל 	הווה	ראשון	נקבה	יחיד	מ_ז_רה
הופעל 	הווה	שני 	זכר 	יחיד	מ_ז_רה
הופעל 	הווה	שני 	נקבה	יחיד	מ_ז_רה
הופעל 	הווה	שלישי	זכר 	יחיד	מ_ז_רה
הופעל 	הווה	שלישי	נקבה	יחיד	מ_ז_רה
הופעל 	הווה	ראשון	זכר 	רבים	מ_ז_רימ
הופעל 	הווה	ראשון	נקבה	רבים	מ_ז_רות
הופעל 	הווה	שני 	זכר 	רבים	מ_ז_רימ
הופעל 	הווה	שני 	נקבה	רבים	מ_ז_רות
הופעל 	הווה	שלישי	זכר 	רבים	מ_ז_רימ
הופעל 	הווה	שלישי	נקבה	רבים	מ_ז_רות
הופעל 	עתיד	ראשון	זכר 	יחיד	א_ז_רה
הופעל 	עתיד	ראשון	נקבה	יחיד	א_ז_רה
הופעל 	עתיד	שני 	זכר 	יחיד	ת_ז_רה
הופעל 	עתיד	שני 	נקבה	יחיד	ת_ז_רי
הופעל 	עתיד	שלישי	זכר 	יחיד	י_ז_רה
הופעל 	עתיד	שלישי	נקבה	יחיד	ת_ז_רה
הופעל 	עתיד	ראשון	זכר 	רבים	נ_ז_רה
הופעל 	עתיד	ראשון	נקבה	רבים	נ_ז_רה
הופעל 	עתיד	שני 	זכר 	רבים	ת_ז_רו
הופעל 	עתיד	שני 	נקבה	רבים	ת_ז_רינה
הופעל 	עתיד	שלישי	זכר 	רבים	י_ז_רו
הופעל 	עתיד	שלישי	נקבה	רבים	ת_ז_רינה
התפעל 	עבר 	ראשון	זכר 	יחיד	הת_ז_ריתי
התפעל 	עבר 	ראשון	נקבה	יחיד	הז_ד_ריתי
התפעל 	עבר 	שני 	זכר 	יחיד	הז_ד_רית
התפעל 	עבר 	שני 	נקבה	יחיד	הז_ד_רית
התפעל 	עבר 	שלישי	זכר 	יחיד	הז_ד_רה
התפעל 	עבר 	שלישי	נקבה	יחיד	הז_ד_רתה
התפעל 	עבר 	ראשון	זכר 	רבים	הז_ד_רינו
התפעל 	עבר 	ראשון	נקבה	רבים	הז_ד_רינו
התפעל 	עבר 	שני 	זכר 	רבים	הז_ד_ריתמ
התפעל 	עבר 	שני 	נקבה	רבים	הז_ד_ריתנ
התפעל 	עבר 	שלישי	זכר 	רבים	הז_ד_רו
התפעל 	עבר 	שלישי	נקבה	רבים	הז_ד_רו
התפעל 	הווה	ראשון	זכר 	יחיד	מז_ד_רה
התפעל 	הווה	ראשון	נקבה	יחיד	מז_ד_רה
התפעל 	הווה	שני 	זכר 	יחיד	מז_ד_רה
התפעל 	הווה	שני 	נקבה	יחיד	מז_ד_רה
התפעל 	הווה	שלישי	זכר 	יחיד	מז_ד_רה
