טוח
פעל 	הווה	_	_ 	_	ל_טו_ח
התפעל 	עבר 	שלישי	נקבה	יחיד	ה_ט_חה
התפעל 	עבר 	ראשון	זכר 	רבים	ה_ט_חנו
התפעל 	עבר 	ראשון	נקבה	רבים	ה_ט_חו
התפעל 	עבר 	שני 	זכר 	רבים	ה_ט_חתמ
התפעל 	עבר 	שני 	נקבה	רבים	ה_ט_חתנ
התפעל 	עבר 	שלישי	זכר 	רבים	ה_ט_חו
התפעל 	עבר 	שלישי	נקבה	רבים	ה_ט_חו
התפעל 	הווה	ראשון	זכר 	יחיד	מ_ט_ח
התפעל 	הווה	ראשון	נקבה	יחיד	מ_ט_חת
התפעל 	הווה	שני 	זכר 	יחיד	מ_ט_ח
התפעל 	הווה	שני 	נקבה	יחיד	מ_ט_חת
התפעל 	הווה	שלישי	זכר 	יחיד	מ_ט_ח
התפעל 	הווה	שלישי	נקבה	יחיד	מ_ט_חת
התפעל 	הווה	ראשון	זכר 	רבים	מ_ט_חימ
התפעל 	הווה	ראשון	נקבה	רבים	מ_ט_חות
התפעל 	הווה	שני 	זכר 	רבים	מ_ט_חימ
התפעל 	הווה	שני 	נקבה	רבים	מ_ט_חות
התפעל 	הווה	שלישי	זכר 	רבים	מ_ט_חימ
התפעל 	הווה	שלישי	נקבה	רבים	מ_ט_חות
התפעל 	עתיד	ראשון	זכר 	יחיד	א_ט_ח
התפעל 	עתיד	ראשון	נקבה	יחיד	א_ט_ח
התפעל 	עתיד	שני 	זכר 	יחיד	ת_ט_ח
התפעל 	עתיד	שני 	נקבה	יחיד	ת_ט_חי
התפעל 	עתיד	שלישי	זכר 	יחיד	י_ט_ח
התפעל 	עתיד	שלישי	נקבה	יחיד	ת_ט_ח
התפעל 	עתיד	ראשון	זכר 	רבים	נ_ט_ח
התפעל 	עתיד	ראשון	נקבה	רבים	נ_ט_ח
התפעל 	עתיד	שני 	זכר 	רבים	ת_ט_חו
התפעל 	עתיד	שני 	נקבה	רבים	ת_ט_חנה
התפעל 	עתיד	שלישי	זכר 	רבים	י_ט_חו
התפעל 	עתיד	שלישי	נקבה	רבים	ת_ט_חנה
התפעל 	ציווי	שני 	זכר 	יחיד	ה_ט_ח
התפעל 	ציווי	שני 	נקבה	יחיד	ה_ט_חי
התפעל 	ציווי	שני 	זכר 	רבים	ה_ט_חו
התפעל 	ציווי	שני 	נקבה	רבים	ה_ט_חנה
פיעל	עבר 	ראשון	זכר 	יחיד	_טו_ח_חתי
פיעל	עבר 	ראשון	נקבה	יחיד	_טו_ח_חתי
פיעל	עבר 	שני 	זכר 	יחיד	_טו_ח_חת
פיעל	עבר 	שני 	נקבה	יחיד	_טו_ח_חת
פיעל	עבר 	שלישי	זכר 	יחיד	_טו_ח_ח
פיעל	עבר 	שלישי	נקבה	יחיד	_טו_ח_ח
פיעל	עבר 	ראשון	זכר 	רבים	_טו_ח_חנו
פיעל	עבר 	ראשון	נקבה	רבים	_טו_ח_חנו
פיעל	עבר 	שני 	זכר 	רבים	_טו_ח_חתמ
פיעל	עבר 	שני 	נקבה	רבים	_טו_ח_חתנ
פיעל	עבר 	שלישי	זכר 	רבים	_טו_ח_חו
פיעל	עבר 	שלישי	נקבה	רבים	_טו_ח_חו
פיעל	הווה	ראשון	זכר 	יחיד	מ_טו_ח_ח
פיעל	הווה	ראשון	נקבה	יחיד	מ_טו_ח_חת
פיעל	הווה	שני 	זכר 	יחיד	מ_טו_ח_ח
פיעל	הווה	שני 	נקבה	יחיד	מ_טו_ח_חת
פיעל	הווה	שלישי	זכר 	יחיד	מ_טו_ח_ח
פיעל	הווה	שלישי	נקבה	יחיד	מ_טו_ח_חת
פיעל	הווה	ראשון	זכר 	רבים	מ_טו_ח_חימ
פיעל	הווה	ראשון	נקבה	רבים	מ_טו_ח_חות
פיעל	הווה	שני 	זכר 	רבים	מ_טו_ח_חימ
פיעל	הווה	שני 	נקבה	רבים	מ_טו_ח_חות
פיעל	הווה	שלישי	זכר 	רבים	מ_טו_ח_חימ
פיעל	הווה	שלישי	נקבה	רבים	מ_טו_ח_חות
פיעל	עתיד	ראשון	זכר 	יחיד	א_טו_ח_ח
פיעל	עתיד	ראשון	נקבה	יחיד	א_טו_ח_ח
פיעל	עתיד	שני 	זכר 	יחיד	ת_טו_ח_ח
פיעל	עתיד	שני 	נקבה	יחיד	ת_טו_ח_חי
פיעל	עתיד	שלישי	זכר 	יחיד	י_טו_ח_ח
פיעל	עתיד	שלישי	נקבה	יחיד	ת_טו_ח_ח
פיעל	עתיד	ראשון	זכר 	רבים	נ_טו_ח_ח
פיעל	עתיד	ראשון	נקבה	רבים	נ_טו_ח_ח
פיעל	עתיד	שני 	זכר 	רבים	ת_טו_ח_חו
פיעל	עתיד	שני 	נקבה	רבים	ת_טו_ח_חו
פיעל	עתיד	שלישי	זכר 	רבים	י_טו_ח_חו
פיעל	עתיד	שלישי	נקבה	רבים	ת_טו_ח_חנה
פיעל	ציווי	שני 	זכר 	יחיד	_טו_ח_ח
פיעל	ציווי	שני 	נקבה	יחיד	_טו_ח_חי
פיעל	ציווי	שני 	זכר 	רבים	_טו_ח_חו
פיעל	ציווי	שני 	נקבה	רבים	_טו_ח_חנה
פועל	עבר 	ראשון	זכר 	יחיד	_טו_ח_חתי
פועל	עבר 	ראשון	נקבה	יחיד	_טו_ח_חתי
פועל	עבר 	שני 	זכר 	יחיד	_טו_ח_חת
פועל	עבר 	שני 	נקבה	יחיד	_טו_ח_חת
פועל	עבר 	שלישי	זכר 	יחיד	_טו_ח_ח
פועל	עבר 	שלישי	נקבה	יחיד	_טו_ח_ח
פועל	עבר 	ראשון	זכר 	רבים	_טו_ח_חנו
פועל	עבר 	ראשון	נקבה	רבים	_טו_ח_חנו
פועל	עבר 	שני 	זכר 	רבים	_טו_ח_חתמ
פועל	עבר 	שני 	נקבה	רבים	_טו_ח_חתנ
פועל	עבר 	שלישי	זכר 	רבים	_טו_ח_חו
פועל	עבר 	שלישי	נקבה	רבים	_טו_ח_חו
פועל	הווה	ראשון	זכר 	יחיד	מ_טו_ח_ח
פועל	הווה	ראשון	נקבה	יחיד	מ_טו_ח_חת
פועל	הווה	שני 	זכר 	יחיד	מ_טו_ח_ח
פועל	הווה	שני 	נקבה	יחיד	מ_טו_ח_חת
פועל	הווה	שלישי	זכר 	יחיד	מ_טו_ח_ח
פועל	הווה	שלישי	נקבה	יחיד	מ_טו_ח_חת
פועל	הווה	ראשון	זכר 	רבים	מ_טו_ח_חימ
פועל	הווה	ראשון	נקבה	רבים	מ_טו_ח_חות
פועל	הווה	שני 	זכר 	רבים	מ_טו_ח_חימ
פועל	הווה	שני 	נקבה	רבים	מ_טו_ח_חות
פועל	הווה	שלישי	זכר 	רבים	מ_טו_ח_חימ
פועל	הווה	שלישי	נקבה	רבים	מ_טו_ח_חות
פועל	עתיד	ראשון	זכר 	יחיד	א_טו_ח_ח
פועל	עתיד	ראשון	נקבה	יחיד	א_טו_ח_ח
פועל	עתיד	שני 	זכר 	יחיד	ת_טו_ח_ח
פועל	עתיד	שני 	נקבה	יחיד	ת_טו_ח_חי
פועל	עתיד	שלישי	זכר 	יחיד	י_טו_ח_ח
פועל	עתיד	שלישי	נקבה	יחיד	ת_טו_ח_ח
פועל	עתיד	ראשון	זכר 	רבים	נ_טו_ח_ח
