קומ
פעל 	הווה	_	_ 	_	ל_קו_מ
התפעל 	הווה	ראשון	נקבה	יחיד	מת_ק_ו_מת
התפעל 	הווה	שני 	זכר 	יחיד	מת_ק_ו_מ
התפעל 	הווה	שני 	נקבה	יחיד	מת_ק_ו_מת
התפעל 	הווה	שלישי	זכר 	יחיד	מת_ק_ו_מ
התפעל 	הווה	שלישי	נקבה	יחיד	מת_ק_ו_מת
התפעל 	הווה	ראשון	זכר 	רבים	מת_ק_ו_מימ
התפעל 	הווה	ראשון	נקבה	רבים	מת_ק_ו_מות
התפעל 	הווה	שני 	זכר 	רבים	מת_ק_ו_מימ
התפעל 	הווה	שני 	נקבה	רבים	מת_ק_ו_מות
התפעל 	הווה	שלישי	זכר 	רבים	מת_ק_ו_מימ
התפעל 	הווה	שלישי	נקבה	רבים	מת_ק_ו_מות
התפעל 	עתיד	ראשון	זכר 	יחיד	את_ק_ו_מ
התפעל 	עתיד	ראשון	נקבה	יחיד	את_ק_ו_מ
התפעל 	עתיד	שני 	זכר 	יחיד	תת_ק_ו_מ
התפעל 	עתיד	שני 	נקבה	יחיד	תת_ק_ו_מי
התפעל 	עתיד	שלישי	זכר 	יחיד	ית_ק_ו_מ
התפעל 	עתיד	שלישי	נקבה	יחיד	תת_ק_ו_מ
התפעל 	עתיד	ראשון	זכר 	רבים	נת_ק_ו_מ
התפעל 	עתיד	ראשון	נקבה	רבים	נת_ק_ו_מ
התפעל 	עתיד	שני 	זכר 	רבים	ת_ק_ו_מו
התפעל 	עתיד	שני 	נקבה	רבים	תת_ק_ו_מנה
התפעל 	עתיד	שלישי	זכר 	רבים	ית_ק_ו_מו
התפעל 	עתיד	שלישי	נקבה	רבים	תת_ק_ו_מנה
התפעל 	ציווי	שני 	זכר 	יחיד	הת_ק_ו_מ
התפעל 	ציווי	שני 	נקבה	יחיד	הת_ק_ו_מי
התפעל 	ציווי	שני 	זכר 	רבים	הת_ק_ו_מו
התפעל 	ציווי	שני 	נקבה	רבים	הת_ק_ו_מנה
פיעל	עבר 	ראשון	זכר 	יחיד	_קו_מ_מתי
פיעל	עבר 	ראשון	נקבה	יחיד	_קו_מ_מתי
פיעל	עבר 	שני 	זכר 	יחיד	_קו_מ_מת
פיעל	עבר 	שני 	נקבה	יחיד	_קו_מ_מת
פיעל	עבר 	שלישי	זכר 	יחיד	_קו_מ_מ
פיעל	עבר 	שלישי	נקבה	יחיד	_קו_מ_מ
פיעל	עבר 	ראשון	זכר 	רבים	_קו_מ_מנו
פיעל	עבר 	ראשון	נקבה	רבים	_קו_מ_מנו
פיעל	עבר 	שני 	זכר 	רבים	_קו_מ_מתמ
פיעל	עבר 	שני 	נקבה	רבים	_קו_מ_מתנ
פיעל	עבר 	שלישי	זכר 	רבים	_קו_מ_מו
פיעל	עבר 	שלישי	נקבה	רבים	_קו_מ_מו
פיעל	הווה	ראשון	זכר 	יחיד	מ_קו_מ_מ
פיעל	הווה	ראשון	נקבה	יחיד	מ_קו_מ_מת
פיעל	הווה	שני 	זכר 	יחיד	מ_קו_מ_מ
פיעל	הווה	שני 	נקבה	יחיד	מ_קו_מ_מת
פיעל	הווה	שלישי	זכר 	יחיד	מ_קו_מ_מ
פיעל	הווה	שלישי	נקבה	יחיד	מ_קו_מ_מת
פיעל	הווה	ראשון	זכר 	רבים	מ_קו_מ_מימ
פיעל	הווה	ראשון	נקבה	רבים	מ_קו_מ_מות
פיעל	הווה	שני 	זכר 	רבים	מ_קו_מ_מימ
פיעל	הווה	שני 	נקבה	רבים	מ_קו_מ_מות
פיעל	הווה	שלישי	זכר 	רבים	מ_קו_מ_מימ
פיעל	הווה	שלישי	נקבה	רבים	מ_קו_מ_מות
פיעל	עתיד	ראשון	זכר 	יחיד	א_קו_מ_מ
פיעל	עתיד	ראשון	נקבה	יחיד	א_קו_מ_מ
פיעל	עתיד	שני 	זכר 	יחיד	ת_קו_מ_מ
פיעל	עתיד	שני 	נקבה	יחיד	ת_קו_מ_מי
פיעל	עתיד	שלישי	זכר 	יחיד	י_קו_מ_מ
פיעל	עתיד	שלישי	נקבה	יחיד	ת_קו_מ_מ
פיעל	עתיד	ראשון	זכר 	רבים	נ_קו_מ_מ
פיעל	עתיד	ראשון	נקבה	רבים	נ_קו_מ_מ
פיעל	עתיד	שני 	זכר 	רבים	ת_קו_מ_מו
פיעל	עתיד	שני 	נקבה	רבים	ת_קו_מ_מו
פיעל	עתיד	שלישי	זכר 	רבים	י_קו_מ_מו
פיעל	עתיד	שלישי	נקבה	רבים	ת_קו_מ_מנה
פיעל	ציווי	שני 	זכר 	יחיד	_קו_מ_מ
פיעל	ציווי	שני 	נקבה	יחיד	_קו_מ_מי
פיעל	ציווי	שני 	זכר 	רבים	_קו_מ_מו
פיעל	ציווי	שני 	נקבה	רבים	_קו_מ_מנה
פועל	עבר 	ראשון	זכר 	יחיד	_קו_מ_מתי
פועל	עבר 	ראשון	נקבה	יחיד	_קו_מ_מתי
פועל	עבר 	שני 	זכר 	יחיד	_קו_מ_מת
פועל	עבר 	שני 	נקבה	יחיד	_קו_מ_מת
פועל	עבר 	שלישי	זכר 	יחיד	_קו_מ_מ
פועל	עבר 	שלישי	נקבה	יחיד	_קו_מ_מ
פועל	עבר 	ראשון	זכר 	רבים	_קו_מ_מנו
פועל	עבר 	ראשון	נקבה	רבים	_קו_מ_מנו
פועל	עבר 	שני 	זכר 	רבים	_קו_מ_מתמ
פועל	עבר 	שני 	נקבה	רבים	_קו_מ_מתנ
פועל	עבר 	שלישי	זכר 	רבים	_קו_מ_מו
פועל	עבר 	שלישי	נקבה	רבים	_קו_מ_מו
פועל	הווה	ראשון	זכר 	יחיד	מ_קו_מ_מ
פועל	הווה	ראשון	נקבה	יחיד	מ_קו_מ_מת
פועל	הווה	שני 	זכר 	יחיד	מ_קו_מ_מ
פועל	הווה	שני 	נקבה	יחיד	מ_קו_מ_מת
פועל	הווה	שלישי	זכר 	יחיד	מ_קו_מ_מ
פועל	הווה	שלישי	נקבה	יחיד	מ_קו_מ_מת
פועל	הווה	ראשון	זכר 	רבים	מ_קו_מ_מימ
פועל	הווה	ראשון	נקבה	רבים	מ_קו_מ_מות
פועל	הווה	שני 	זכר 	רבים	מ_קו_מ_מימ
פועל	הווה	שני 	נקבה	רבים	מ_קו_מ_מות
פועל	הווה	שלישי	זכר 	רבים	מ_קו_מ_מימ
פועל	הווה	שלישי	נקבה	רבים	מ_קו_מ_מות
פועל	עתיד	ראשון	זכר 	יחיד	א_קו_מ_מ
פועל	עתיד	ראשון	נקבה	יחיד	א_קו_מ_מ
פועל	עתיד	שני 	זכר 	יחיד	ת_קו_מ_מ
פועל	עתיד	שני 	נקבה	יחיד	ת_קו_מ_מי
פועל	עתיד	שלישי	זכר 	יחיד	י_קו_מ_מ
פועל	עתיד	שלישי	נקבה	יחיד	ת_קו_מ_מ
פועל	עתיד	ראשון	זכר 	רבים	נ_קו_מ_מ
פועל	עתיד	ראשון	נקבה	רבים	נ_קו_מ_מ
פועל	עתיד	שני 	זכר 	רבים	ת_קו_מ_מו
פועל	עתיד	שני 	נקבה	רבים	ת_קו_מ_מו
פועל	עתיד	שלישי	זכר 	רבים	י_קו_מ_מו
פועל	עתיד	שלישי	נקבה	רבים	ת_קו_מ_מנה
התפעל 	עבר 	ראשון	זכר 	יחיד	הת_קו_מ_מתי
התפעל 	עבר 	ראשון	נקבה	יחיד	הת_קו_מ_מתי
התפעל 	עבר 	שני 	זכר 	יחיד	הת_קו_מ_מת
התפעל 	עבר 	שני 	נקבה	יחיד	הת_קו_מ_מת
התפעל 	עבר 	שלישי	זכר 	יחיד	הת_קו_מ_מ
התפעל 	עבר 	שלישי	נקבה	יחיד	הת_קו_מ_מה
התפעל 	עבר 	ראשון	זכר 	רבים	הת_קו_מ_מנו
התפעל 	עבר 	ראשון	נקבה	רבים	הת_קו_מ_מו
התפעל 	עבר 	שני 	זכר 	רבים	הת_קו_מ_מתמ
התפעל 	עבר 	שני 	נקבה	רבים	הת_קו_מ_מתנ
