שוי
פעל 	הווה	_	_ 	_	ל_שוות
התפעל 	עבר 	שלישי	זכר 	רבים	ה_שתוו
התפעל 	עבר 	שלישי	נקבה	רבים	ה_שתוו
התפעל 	הווה	ראשון	זכר 	יחיד	מ_שתוה
התפעל 	הווה	ראשון	נקבה	יחיד	מ_שתוה
התפעל 	הווה	שני 	זכר 	יחיד	מ_שתוה
התפעל 	הווה	שני 	נקבה	יחיד	מ_שתוה
התפעל 	הווה	שלישי	זכר 	יחיד	מ_שתוה
התפעל 	הווה	שלישי	נקבה	יחיד	מ_שתוה
התפעל 	הווה	ראשון	זכר 	רבים	מ_שתוימ
התפעל 	הווה	ראשון	נקבה	רבים	מ_שתוות
התפעל 	הווה	שני 	זכר 	רבים	מ_שתוימ
התפעל 	הווה	שני 	נקבה	רבים	מ_שתוות
התפעל 	הווה	שלישי	זכר 	רבים	מ_שתוימ
התפעל 	הווה	שלישי	נקבה	רבים	מ_שתוות
התפעל 	עתיד	ראשון	זכר 	יחיד	א_שתוה
התפעל 	עתיד	ראשון	נקבה	יחיד	א_שתוה
התפעל 	עתיד	שני 	זכר 	יחיד	ת_שתוה
התפעל 	עתיד	שני 	נקבה	יחיד	ת_שתוי
התפעל 	עתיד	שלישי	זכר 	יחיד	י_שתוה
התפעל 	עתיד	שלישי	נקבה	יחיד	ת_שתוה
התפעל 	עתיד	ראשון	זכר 	רבים	נ_שתוה
התפעל 	עתיד	ראשון	נקבה	רבים	נ_שתוה
התפעל 	עתיד	שני 	זכר 	רבים	ת_שתוו
התפעל 	עתיד	שני 	נקבה	רבים	ת_שתוינה
התפעל 	עתיד	שלישי	זכר 	רבים	י_שתוו
התפעל 	עתיד	שלישי	נקבה	רבים	ת_שתוינה
התפעל 	ציווי	שני 	זכר 	יחיד	ה_שתוה
התפעל 	ציווי	שני 	נקבה	יחיד	ה_שתוי
התפעל 	ציווי	שני 	זכר 	רבים	ה_שתוו
התפעל 	ציווי	שני 	נקבה	רבים	ה_שתוינה
