שטי
פעל 	הווה	_	_ 	_	ל_ש_טות
הופעל 	הווה	שני 	נקבה	יחיד	מ_ש_שה
הופעל 	הווה	שלישי	זכר 	יחיד	מ_ש_שה
הופעל 	הווה	שלישי	נקבה	יחיד	מ_ש_שה
הופעל 	הווה	ראשון	זכר 	רבים	מ_ש_שימ
הופעל 	הווה	ראשון	נקבה	רבים	מ_ש_שות
הופעל 	הווה	שני 	זכר 	רבים	מ_ש_שימ
הופעל 	הווה	שני 	נקבה	רבים	מ_ש_שות
הופעל 	הווה	שלישי	זכר 	רבים	מ_ש_שימ
הופעל 	הווה	שלישי	נקבה	רבים	מ_ש_שות
הופעל 	עתיד	ראשון	זכר 	יחיד	א_ש_שה
הופעל 	עתיד	ראשון	נקבה	יחיד	א_ש_שה
הופעל 	עתיד	שני 	זכר 	יחיד	ת_ש_שה
הופעל 	עתיד	שני 	נקבה	יחיד	ת_ש_שי
הופעל 	עתיד	שלישי	זכר 	יחיד	י_ש_שה
הופעל 	עתיד	שלישי	נקבה	יחיד	ת_ש_שה
הופעל 	עתיד	ראשון	זכר 	רבים	נ_ש_שה
הופעל 	עתיד	ראשון	נקבה	רבים	נ_ש_שה
הופעל 	עתיד	שני 	זכר 	רבים	ת_ש_שו
הופעל 	עתיד	שני 	נקבה	רבים	ת_ש_שינה
הופעל 	עתיד	שלישי	זכר 	רבים	י_ש_שו
הופעל 	עתיד	שלישי	נקבה	רבים	ת_ש_שינה
התפעל 	עבר 	ראשון	זכר 	יחיד	ה_שת_שיתי
התפעל 	עבר 	ראשון	נקבה	יחיד	ה_שת_שיתי
התפעל 	עבר 	שני 	זכר 	יחיד	ה_שת_שית
התפעל 	עבר 	שני 	נקבה	יחיד	ה_שת_שית
התפעל 	עבר 	שלישי	זכר 	יחיד	ה_שת_שה
התפעל 	עבר 	שלישי	נקבה	יחיד	ה_שת_שתה
התפעל 	עבר 	ראשון	זכר 	רבים	ה_שת_שינו
התפעל 	עבר 	ראשון	נקבה	רבים	ה_שת_שינו
התפעל 	עבר 	שני 	זכר 	רבים	ה_שת_שיתמ
התפעל 	עבר 	שני 	נקבה	רבים	ה_שת_שיתנ
התפעל 	עבר 	שלישי	זכר 	רבים	ה_שת_שו
התפעל 	עבר 	שלישי	נקבה	רבים	ה_שת_שו
התפעל 	הווה	ראשון	זכר 	יחיד	מ_שת_שה
התפעל 	הווה	ראשון	נקבה	יחיד	מ_שת_שה
התפעל 	הווה	שני 	זכר 	יחיד	מ_שת_שה
התפעל 	הווה	שני 	נקבה	יחיד	מ_שת_שה
התפעל 	הווה	שלישי	זכר 	יחיד	מ_שת_שה
התפעל 	הווה	שלישי	נקבה	יחיד	מ_שת_שה
התפעל 	הווה	ראשון	זכר 	רבים	מ_שת_שימ
התפעל 	הווה	ראשון	נקבה	רבים	מ_שת_שות
התפעל 	הווה	שני 	זכר 	רבים	מ_שת_שימ
התפעל 	הווה	שני 	נקבה	רבים	מ_שת_שות
התפעל 	הווה	שלישי	זכר 	רבים	מ_שת_שימ
התפעל 	הווה	שלישי	נקבה	רבים	מ_שת_שות
התפעל 	עתיד	ראשון	זכר 	יחיד	א_שת_שה
התפעל 	עתיד	ראשון	נקבה	יחיד	א_שת_שה
התפעל 	עתיד	שני 	זכר 	יחיד	ת_שת_שה
התפעל 	עתיד	שני 	נקבה	יחיד	ת_שת_שי
התפעל 	עתיד	שלישי	זכר 	יחיד	י_שת_שה
התפעל 	עתיד	שלישי	נקבה	יחיד	ת_שת_שה
התפעל 	עתיד	ראשון	זכר 	רבים	נ_שת_שה
התפעל 	עתיד	ראשון	נקבה	רבים	נ_שת_שה
התפעל 	עתיד	שני 	זכר 	רבים	ת_שת_שו
התפעל 	עתיד	שני 	נקבה	רבים	ת_שת_שינה
התפעל 	עתיד	שלישי	זכר 	רבים	י_שת_שו
התפעל 	עתיד	שלישי	נקבה	רבים	ת_שת_שינה
התפעל 	ציווי	שני 	זכר 	יחיד	ה_שת_שה
התפעל 	ציווי	שני 	נקבה	יחיד	ה_שת_שי
התפעל 	ציווי	שני 	זכר 	רבים	ה_שת_שו
התפעל 	ציווי	שני 	נקבה	רבים	ה_שת_שינה
