צוד
פעל 	הווה	_	_ 	_	ל_צו_ד
פיעל	עתיד	שלישי	זכר 	רבים	י_צו_ד_דו
פיעל	עתיד	שלישי	נקבה	רבים	ת_צו_ד_דנה
פיעל	ציווי	שני 	זכר 	יחיד	_צו_ד_ד
פיעל	ציווי	שני 	נקבה	יחיד	_צו_ד_די
פיעל	ציווי	שני 	זכר 	רבים	_צו_ד_דו
פיעל	ציווי	שני 	נקבה	רבים	_צו_ד_דנה
פועל	עבר 	ראשון	זכר 	יחיד	_צו_ד_דתי
פועל	עבר 	ראשון	נקבה	יחיד	_צו_ד_דתי
פועל	עבר 	שני 	זכר 	יחיד	_צו_ד_דת
פועל	עבר 	שני 	נקבה	יחיד	_צו_ד_דת
פועל	עבר 	שלישי	זכר 	יחיד	_צו_ד_ד
פועל	עבר 	שלישי	נקבה	יחיד	_צו_ד_ד
פועל	עבר 	ראשון	זכר 	רבים	_צו_ד_דנו
פועל	עבר 	ראשון	נקבה	רבים	_צו_ד_דנו
פועל	עבר 	שני 	זכר 	רבים	_צו_ד_דתמ
פועל	עבר 	שני 	נקבה	רבים	_צו_ד_דתנ
פועל	עבר 	שלישי	זכר 	רבים	_צו_ד_דו
פועל	עבר 	שלישי	נקבה	רבים	_צו_ד_דו
פועל	הווה	ראשון	זכר 	יחיד	מ_צו_ד_ד
פועל	הווה	ראשון	נקבה	יחיד	מ_צו_ד_דת
פועל	הווה	שני 	זכר 	יחיד	מ_צו_ד_ד
פועל	הווה	שני 	נקבה	יחיד	מ_צו_ד_דת
פועל	הווה	שלישי	זכר 	יחיד	מ_צו_ד_ד
פועל	הווה	שלישי	נקבה	יחיד	מ_צו_ד_דת
פועל	הווה	ראשון	זכר 	רבים	מ_צו_ד_דימ
פועל	הווה	ראשון	נקבה	רבים	מ_צו_ד_דות
פועל	הווה	שני 	זכר 	רבים	מ_צו_ד_דימ
פועל	הווה	שני 	נקבה	רבים	מ_צו_ד_דות
פועל	הווה	שלישי	זכר 	רבים	מ_צו_ד_דימ
פועל	הווה	שלישי	נקבה	רבים	מ_צו_ד_דות
פועל	עתיד	ראשון	זכר 	יחיד	א_צו_ד_ד
פועל	עתיד	ראשון	נקבה	יחיד	א_צו_ד_ד
